,class,ra,dec,u,g,r,i,z,nuv_mag,u-g,u-r,u-i,u-z,u-nuv_mag,g-r,g-i,g-z,g-nuv_mag,r-i,r-z,r-nuv_mag,i-z,i-nuv_mag,z-nuv_mag
3453,1,191.6715396,21.14330177,19.76701164,18.52168655,17.7281723,17.324129100000004,17.02028847,20.58231354,1.24532509,2.03883934,2.44288254,2.74672317,-0.8153019,0.79351425,1.19755745,1.50139808,-2.06062699,0.40404320000000005,0.70788383,-2.85414124,0.30384063,-3.25818444,-3.56202507
6017,1,183.0238697,34.67398128,21.37038231,20.73353195,19.71752548,19.02184296,18.68697929,22.01191711,0.63685036,1.65285683,2.34853935,2.68340302,-0.6415348000000001,1.01600647,1.71168899,2.04655266,-1.27838516,0.69568252,1.03054619,-2.29439163,0.33486367,-2.99007415,-3.32493782
7871,1,191.2529004,33.37484438,19.61315155,18.22704506,17.28675652,16.85783195,16.47584915,21.76025581,1.38610649,2.32639503,2.7553196,3.1373024,-2.14710426,0.94028854,1.36921311,1.75119591,-3.53321075,0.42892457,0.81090737,-4.47349929,0.3819828,-4.90242386,-5.28440666
8216,2,197.1436764,31.79977127,22.16194153,21.64367485,21.65191078,21.50787544,21.14367294,22.25804138,0.51826668,0.51003075,0.65406609,1.01826859,-0.09609985,-0.00823593,0.13579941,0.50000191,-0.61436653,0.14403534,0.50823784,-0.6061306,0.3642025,-0.75016594,-1.11436844
4644,1,184.8830714,28.70300426,19.57339287,18.12589645,17.53107834,17.23666382,16.98355293,20.78969955,1.44749642,2.04231453,2.33672905,2.58983994,-1.21630668,0.59481811,0.88923263,1.14234352,-2.6638031000000004,0.29441452,0.54752541,-3.25862121,0.25311089,-3.55303573,-3.80614662
6088,1,181.16119540000003,24.38240615,22.96271324,19.92267227,18.44876289,17.86565018,17.50919724,22.20873833,3.04004097,4.51395035,5.09706306,5.4535160000000005,0.75397491,1.47390938,2.05702209,2.41347503,-2.28606606,0.58311271,0.93956565,-3.75997544,0.35645294,-4.34308815,-4.69954109
4971,1,189.4810074,28.4288979,26.958393100000006,21.60403252,20.3017025,19.4186306,18.95474625,23.00716209,5.35436058,6.6566906,7.5397625,8.00364685,3.95123101,1.30233002,2.18540192,2.64928627,-1.40312957,0.8830719000000001,1.34695625,-2.70545959,0.46388435,-3.58853149,-4.05241584
6891,0,187.14861069999998,38.56298133,20.62798309,20.48613358,20.26910973,20.05913162,20.18385124,22.31183243,0.14184951,0.35887336,0.56885147,0.44413185,-1.68384934,0.21702385,0.42700196,0.30228234,-1.82569885,0.20997811,0.08525849,-2.0427227,-0.12471962,-2.25270081,-2.12798119
2734,2,193.93895619999998,23.39667956,20.72714806,20.34945107,20.40340614,20.23283958,20.16620636,20.90652084,0.37769699,0.32374192,0.49430848,0.5609417,-0.17937278,-0.05395507,0.11661149,0.18324471,-0.55706977,0.17056656,0.23719978,-0.5031147,0.06663322,-0.67368126,-0.74031448
6545,1,200.3681257,34.15890506,22.79212189,21.46655083,20.14303207,19.42080879,19.13068199,22.61922073,1.32557106,2.64908982,3.3713131,3.6614399,0.17290116,1.32351876,2.04574204,2.33586884,-1.1526698999999998,0.72222328,1.01235008,-2.47618866,0.2901268,-3.19841194,-3.48853874
