,class,ra,dec,u,g,r,i,z,nuv_mag,u-g,u-r,u-i,u-z,u-nuv_mag,g-r,g-i,g-z,g-nuv_mag,r-i,r-z,r-nuv_mag,i-z,i-nuv_mag,z-nuv_mag
6564,1,0.8762285964814303,0.6184540391634712,0.73850256908781,0.778323583757703,0.7895531708224142,0.7676981347548414,0.7209470906827358,0.8181556792497554,0.2896664019715109,0.34751092133115974,0.39888393090143925,0.45603324868677186,0.321899692231928,0.47657200672664074,0.46792375010902026,0.5293097951720956,0.34923829668780665,0.4500783278250659,0.5019601853049936,0.3883844687321885,0.7330231686216532,0.35386545067507336,0.3261402728731587
1257,1,0.9802558212810667,0.848394423038282,0.9232821142647439,0.9339942389207371,0.9597293427762917,0.7965268067767993,0.83879725893226,0.8837785689880877,0.5063113860658307,0.4665933040213101,0.7386041725318462,0.669722374517261,0.7030759918583112,0.3082635207656741,0.6881084026047841,0.6309532007281933,0.7229755207813521,0.8871558552703619,0.7722691401642165,0.6072108904402417,0.42930007441226115,0.31874348658565727,0.40818175279420593
1922,1,0.8571058839484814,0.7640661920111331,0.7741574401426788,0.8465356276482718,0.9273990884458435,0.8824755983318194,0.8456858075968623,0.850818165105449,0.3624573489519011,0.14268919862610435,0.23451941595554562,0.34700255433485394,0.3898514395841614,0.13094002097125554,0.3484800405356844,0.4611551485186519,0.5816460993079736,0.6951710989756484,0.6738930363837377,0.6670979890686414,0.613936983518094,0.5709132658547933,0.5042449851873381
2723,1,0.9292720499471351,0.5977185366468317,0.8129065754796182,0.8455530004389128,0.8830803035094105,0.8375657573576915,0.7909729181339683,0.8878246899316684,0.4325587613955529,0.3143377872192816,0.3932024866114761,0.5099414468975944,0.36741682509715873,0.24178971524531465,0.4365337831197207,0.5506143362561404,0.4760916774952637,0.6993507457515294,0.7041455665108882,0.4383524647271252,0.6415092738947669,0.3552123149638578,0.2939417561294984
6909,1,0.9119788104764852,0.9029911264518515,0.7633326416952109,0.7962276287651106,0.7835440513546192,0.7624254572555926,0.7175270673591251,0.818561849304629,0.39416853563633514,0.444194756762403,0.4839737862186933,0.528762951459815,0.39504793536660393,0.531429877198199,0.4996689430685096,0.5447543035944965,0.38865953284774285,0.31268785057726733,0.4925379457600683,0.3702103285028349,0.7216812413415409,0.3388791642498158,0.317748436456997
6587,1,0.8574398939524108,0.6114343584506746,0.7016015001173851,0.7390614587811655,0.7584191227470153,0.7425086789259523,0.6988717765274958,0.7702933447306441,0.280134941083134,0.3104183813867466,0.35154129354576896,0.40875978920288486,0.3494635706100738,0.3956877491117841,0.3885467612977433,0.4707618958395934,0.3847762383336228,0.4135766203056561,0.47070159666023054,0.45895855375847766,0.7183787784307889,0.4346214929888226,0.40588686757778125
937,2,0.8911758293993229,0.7270416549626076,0.7924031673062466,0.8436163015269789,0.9460304873610969,0.8364636465689493,0.8939582013616373,0.8963597822321585,0.4055661799697542,0.14693313251902437,0.4715614099104579,0.300351883886096,0.32428390301980636,0.0842730926605993,0.49652868789584165,0.37488171011412175,0.45254002534985077,0.7692750019224996,0.603219529246011,0.5466141485022139,0.41039382242481903,0.36909058053190374,0.4981996282855788
5445,1,0.9667564428590217,0.7915016329631598,0.843151894110583,0.9128438376046044,0.9108984950569561,0.8703412320840117,0.8242471561286727,0.9144456165295872,0.17393805514606636,0.32399115415275415,0.4130181624618605,0.4591573289890132,0.33393940210708883,0.6034662930421442,0.7290411758030423,0.7100698045437546,0.4565580833569177,0.7044943248523531,0.6876904556099553,0.42864148159383614,0.6220063081675143,0.3446498169305941,0.2985634831150505
775,1,0.8974170629150656,0.3296194621846159,0.8931188001363335,0.8566800394711162,0.8941920649324061,0.7484986729041518,0.7951549480575237,0.8659115528754483,0.5884980615649557,0.5261381131493554,0.7593548151338005,0.6820020511605263,0.6664675029987154,0.25316378299586023,0.6447665208244042,0.5633124792813035,0.5698941610081023,0.8639763337908415,0.7238110483741772,0.5073075732863062,0.4157295548084067,0.2717549143027562,0.3568551523358109
6512,1,0.9768852871258674,0.8514408125055088,0.8259590057236619,0.8986740559270129,0.9121852294742787,0.8768752505087127,0.8296854352420217,0.8806228468307808,0.2160173693891255,0.30547021899408583,0.3925626501081153,0.44173576985146246,0.40354050502680877,0.5252101874660878,0.5608151740741476,0.5775862361073378,0.48924300563578005,0.5318070889898734,0.5372516471782999,0.525998294172164,0.7064881756506667,0.447354477255823,0.42193708774341643
